City,CityASCII,Latitude,Longitude,Country,ISO2,ISO3,AdminName,Capital,Population
Aībak,Aibak,36.2534,68.0394,Afghanistan,AF,AFG,Samangān,admin,4938
Andkhōy,Andkhoy,36.95,65.1167,Afghanistan,AF,AFG,Fāryāb,minor,37887
Asadābād,Asadabad,34.8742,71.1528,Afghanistan,AF,AFG,Kunaṟ,admin,48400
Baghlān,Baghlan,36.1328,68.7,Afghanistan,AF,AFG,Baghlān,minor,39228
Balkh,Balkh,36.7581,66.8989,Afghanistan,AF,AFG,Balkh,minor,77000
Bāmyān,Bamyan,34.8167,67.8167,Afghanistan,AF,AFG,Bāmyān,admin,61863
Barakī Barak,Baraki Barak,33.9667,68.9667,Afghanistan,AF,AFG,Lōgar,minor,22305
Bāzārak,Bazarak,35.3129,69.5152,Afghanistan,AF,AFG,Panjshir,admin,
Buynī Qarah,Buyni Qarah,36.3172,66.8747,Afghanistan,AF,AFG,Balkh,,5842
Chārīkār,Charikar,35.0183,69.1679,Afghanistan,AF,AFG,Parwān,admin,53676
Faīẕābād,Faizabad,37.1298,70.5792,Afghanistan,AF,AFG,Badakhshān,admin,64704
Farāh,Farah,32.3436,62.1194,Afghanistan,AF,AFG,Farāh,admin,73647
Fayrōz Kōh,Fayroz Koh,34.5225,65.2517,Afghanistan,AF,AFG,Ghōr,admin,15000
Gardēz,Gardez,33.5931,69.2297,Afghanistan,AF,AFG,Paktiyā,admin,70000
Ghaznī,Ghazni,33.5492,68.4233,Afghanistan,AF,AFG,Ghaznī,admin,143379
Herāt,Herat,34.3738,62.1792,Afghanistan,AF,AFG,Herāt,admin,556205
Jalālābād,Jalalabad,34.4303,70.4528,Afghanistan,AF,AFG,Nangarhār,admin,263312
Kabul,Kabul,34.5328,69.1658,Afghanistan,AF,AFG,Kābul,primary,4273156
Kandahār,Kandahar,31.6078,65.7053,Afghanistan,AF,AFG,Kandahār,admin,614254
Karukh,Karukh,34.4868,62.5918,Afghanistan,AF,AFG,Herāt,minor,17484
Khānābād,Khanabad,36.6831,69.1636,Afghanistan,AF,AFG,Kunduz,minor,26803
Khōst,Khost,33.3333,69.9167,Afghanistan,AF,AFG,Khōst,admin,160214
Khulm,Khulm,36.6833,67.6833,Afghanistan,AF,AFG,Balkh,minor,28078
Kōṯah-ye ‘As̲h̲rō,Kotah-ye `Ashro,34.45,68.8,Afghanistan,AF,AFG,Wardak,,35008
Kunduz,Kunduz,36.728,68.8725,Afghanistan,AF,AFG,Kunduz,admin,259809
Lashkar Gāh,Lashkar Gah,31.5938,64.3716,Afghanistan,AF,AFG,Helmand,admin,201546
Maḩmūd-e Rāqī,Mahmud-e Raqi,35.0167,69.3333,Afghanistan,AF,AFG,Kāpīsā,admin,7407
Maīdān Shahr,Maidan Shahr,34.3972,68.8697,Afghanistan,AF,AFG,Wardak,admin,35008
Maīmanah,Maimanah,35.9302,64.7701,Afghanistan,AF,AFG,Fāryāb,admin,199795
Mazār-e Sharīf,Mazar-e Sharif,36.7,67.1167,Afghanistan,AF,AFG,Balkh,admin,469247
