PortName,AlternateName,Country,WaterBody,HarborSize,HarborType,HarborUse,Railway,Latitude,Longitude
Shengjin,San Giovani Di Medua,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,41.816667,19.6
Durres,Durazzo,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Large,41.316667,19.45
Vlores, ,Albania,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,40.466667,19.5
Annaba,Bona; Bone,Algeria,Mediterranean Sea; North Atlantic Ocean,Medium,Coastal (Breakwater),Unknown,Medium,36.916667,7.766667
Skikda,Phillippeville,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,36.883333,6.916667
Port Methanier, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,36.883333,6.95
Collo, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,37,6.583333
Bejaia,Bougie,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Medium,36.75,5.083333
Dellys, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Unknown,36.916667,3.916667
Alger,Algiers,Algeria,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,36.766667,3.066667
Tenes, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,36.533333,1.316667
Mostaganem, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,35.933333,0.083333
Arzew, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,35.85,-0.3
Arzew El Djedid, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Small,35.816667,-0.25
Oran, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Large,Coastal (Breakwater),Unknown,Large,35.7,-0.633333
Mers El Kebir, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Small,Coastal (Breakwater),Unknown,Unknown,35.733333,-0.7
Beni Saf, ,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Small,35.3,-1.383333
Ghazaouet,Nemours,Algeria,Mediterranean Sea; North Atlantic Ocean,Very Small,Coastal (Breakwater),Unknown,Large,35.1,-1.866667
Pago Pago Harbor, ,American Samoa,South Pacific Ocean,Small,Coastal (Natural),Unknown,Small,-14.283333,-170.666667
Takula Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.216667,11.783333
Malongo Oil Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.433333,12.083333
Kuito Oil Field, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-5.466667,11.5
Cabinda,Kabinda,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-5.533333,12.2
Futila Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-5.45,12.183333
Kizomba A Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.316667,11.05
Kizomba B Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.35,11.15
Kizomba C Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.316667,11.283333
Psvm Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-6.25,10.733333
Palanca Terminal, ,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Unknown,-6.95,12.4
Dalia Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-7.683333,11.766667
Greater Plutonio Terminal, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-7.833333,12.1
Luanda, ,Angola,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-8.8,13.25
Porto Amboim, ,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-10.733333,13.75
Sumbe,Gunza-Kabolo; Nova Redonda,Angola,South Atlantic Ocean,Very Small,Open Roadstead,Unknown,Unknown,-11.2,13.833333
Lobito, ,Angola,South Atlantic Ocean,Small,Coastal (Natural),Unknown,Unknown,-12.333333,13.566667
Namibe,Mocamedes,Angola,South Atlantic Ocean,Small,Open Roadstead,Unknown,Small,-15.2,12.15
Ellefsen Harbor, ,Antarctica,Scotia Sea; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-60.733333,-45.033333
Scotia Bay, ,Antarctica,Scotia Sea; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-60.75,-44.716667
Admiralty Bay, ,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-62.083333,-58.416667
Port Foster, ,Antarctica,Bransfield Strait; Drake Passage; South Atlantic Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-62.95,-60.633333
Port Lockroy, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.816667,-63.5
Melchior Harbor, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.316667,-63
Andersen Harbor, ,Antarctica,South Pacific Ocean,Very Small,Coastal (Natural),Unknown,Unknown,-64.316667,-62.933333
Mcmurdo Station, ,Antarctica,Ross Sea; South Pacific Ocean,Small,Coastal (Natural),Unknown,Unknown,-77.85,166.65
St Johns, ,Antigua and Barbuda,Caribbean Sea; North Atlantic Ocean,Medium,Open Roadstead,Unknown,Unknown,17.116667,-61.85
San Nicolas, ,Argentina,Rio de la Plata; South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-33.333333,-60.233333
San Pedro,Puerto Obligado,Argentina,Rio de la Plata; South Atlantic Ocean,Very Small,River (Natural),Unknown,Unknown,-33.583333,-59.816667
